# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2]
10000 400
1 0.01 0
2 0.03 0
3 0.05 0
4 0.07 0
5 0.09 0
6 0.11 0
7 0.13 0
8 0.15 0
9 0.17 0
10 0.19 0
11 0.21 0
12 0.23 0
13 0.25 0
14 0.27 0
15 0.29 0
16 0.31 0
17 0.33 0
18 0.35 0
19 0.37 0
20 0.39 0
21 0.41 0
22 0.43 0
23 0.45 0
24 0.47 0
25 0.49 0
26 0.51 0
27 0.53 0
28 0.55 0
29 0.57 0
30 0.59 0
31 0.61 0
32 0.63 0
33 0.65 0
34 0.67 0
35 0.69 0
36 0.71 0
37 0.73 0
38 0.75 0
39 0.77 0
40 0.79 0
41 0.81 0
42 0.83 0
43 0.85 0
44 0.87 0
45 0.89 2.97574e-05
46 0.91 0.00139473
47 0.93 0.0166242
48 0.95 0.103164
49 0.97 0.365552
50 0.99 0.874877
51 1.01 1.55487
52 1.03 2.21547
53 1.05 2.70968
54 1.07 2.98404
55 1.09 3.01969
56 1.11 2.92332
57 1.13 2.70978
58 1.15 2.46659
59 1.17 2.20245
60 1.19 1.95062
61 1.21 1.72675
62 1.23 1.52432
63 1.25 1.35979
64 1.27 1.21174
65 1.29 1.0915
66 1.31 0.988223
67 1.33 0.905091
68 1.35 0.827799
69 1.37 0.772812
70 1.39 0.717403
71 1.41 0.683229
72 1.43 0.647883
73 1.45 0.618419
74 1.47 0.603418
75 1.49 0.588093
76 1.51 0.579471
77 1.53 0.570473
78 1.55 0.571309
79 1.57 0.570215
80 1.59 0.58575
81 1.61 0.594149
82 1.63 0.613167
83 1.65 0.629181
84 1.67 0.655852
85 1.69 0.681348
86 1.71 0.717409
87 1.73 0.75489
88 1.75 0.79453
89 1.77 0.834467
90 1.79 0.890866
91 1.81 0.928884
92 1.83 0.981316
93 1.85 1.02557
94 1.87 1.06455
95 1.89 1.10444
96 1.91 1.13172
97 1.93 1.16909
98 1.95 1.19658
99 1.97 1.21607
100 1.99 1.24017
101 2.01 1.26035
102 2.03 1.26799
103 2.05 1.28437
104 2.07 1.28695
105 2.09 1.28399
106 2.11 1.27246
